300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/everything/
200: filename content-length last-modified file-type
201: "libXcursor-1.1.13.tar.gz" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXdamage-1.1.3.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXdamage-1.1.3.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXdmcp-1.1.1.tar.bz2" 46 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXdmcp-1.1.1.tar.gz" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXext-1.3.1.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXext-1.3.1.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXfixes-5.0.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXfixes-5.0.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXfont-1.4.5.tar.bz2" 46 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXfont-1.4.5.tar.gz" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXft-2.3.1.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXft-2.3.1.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXi-1.6.1.tar.bz2" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXi-1.6.1.tar.gz" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXinerama-1.1.2.tar.bz2" 49 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXinerama-1.1.2.tar.gz" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXmu-1.1.1.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXmu-1.1.1.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXpm-3.5.10.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXpm-3.5.10.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXrandr-1.3.2.tar.bz2" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXrandr-1.3.2.tar.gz" 46 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXrender-0.9.7.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXrender-0.9.7.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXres-1.0.6.tar.bz2" 45 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXres-1.0.6.tar.gz" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXt-1.1.3.tar.bz2" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXt-1.1.3.tar.gz" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
